date,total_demand,forecast_ma_3,forecast_hw,forecast_arima
2025-01-31,7036384,,2661354.8347440544,0.0
2025-02-28,255462,,2351301.2919718027,3711473.0184876877
2025-03-31,281313,2524386.3333333335,2041247.6527760972,2364715.2143794675
2025-04-30,393903,310226.0,1731194.0185857606,1653792.2052510036
2025-05-31,223733,299649.6666666667,1421140.390693305,1254148.4583390874
2025-06-30,304051,307229.0,1111086.764885278,939860.9931269618
2025-07-31,156769,228184.33333333334,801033.1448942414,748979.6062089724
2025-08-31,426494,295771.3333333333,490979.5273286909,573425.2036140575
2025-09-30,261596,281619.6666666667,180925.91840251518,529230.3431928798
2025-10-31,365172,351087.3333333333,-129127.68836067343,450707.8284981055
2025-11-30,288035,304934.3333333333,-439181.2889603006,425212.79840421054
2025-12-31,310937,321381.3333333333,-749234.8860891999,385014.3790763462
