district,date,total_demand,growth_rate
ANUGUL,2025-08-31,5,1.5
Adilabad,2025-04-30,1042,1.0311890838206628
Adilabad,2025-06-30,631,2.9936708860759493
Adilabad,2025-08-31,678,0.4966887417218544
Adilabad,2025-11-30,705,1.3421926910299002
Agar Malwa,2025-03-31,79,0.6458333333333333
Agar Malwa,2025-05-31,62,1.5833333333333335
Agar Malwa,2025-08-31,88,0.8723404255319149
Agra,2025-04-30,1998,1.475836431226766
Agra,2025-06-30,2133,1.9666203059805287
Agra,2025-08-31,1546,2.7985257985257985
Agra,2025-10-31,1024,0.4046639231824416
Agra,2025-11-30,1391,0.3583984375
Ahilyanagar,2025-08-31,8,3.0
Ahilyanagar,2025-09-30,11,0.375
Ahmadabad,2025-02-28,89,1.78125
Ahmadabad,2025-03-31,143,0.6067415730337078
Ahmadabad,2025-06-30,111,0.9821428571428572
Ahmadabad,2025-11-30,96,0.352112676056338
Ahmadnagar,2025-03-31,1787,0.5702987697715289
Ahmadnagar,2025-06-30,3422,2.2840690978886755
Ahmadnagar,2025-10-31,2880,4.485714285714286
Ahmadnagar,2025-12-31,4416,0.9092088197146564
Ahmed Nagar,2025-02-28,38,2.8
Ahmed Nagar,2025-03-31,79,1.0789473684210527
Ahmed Nagar,2025-04-30,113,0.4303797468354431
Ahmed Nagar,2025-06-30,160,19.0
Ahmed Nagar,2025-10-31,102,6.846153846153846
Ahmedabad,2025-03-31,2008,0.3081433224755701
Ahmedabad,2025-05-31,1588,0.47858472998137813
Ahmedabad,2025-06-30,2166,0.3639798488664987
Ahmedabad,2025-11-30,1620,0.36708860759493667
Aizawl,2025-06-30,53,1.5238095238095237
Aizawl,2025-08-31,36,1.7692307692307692
Aizawl,2025-09-30,60,0.6666666666666667
Ajmer,2025-06-30,493,2.04320987654321
Ajmer,2025-08-31,533,0.30637254901960786
Ajmer,2025-10-31,474,1.4559585492227978
Ajmer,2025-11-30,683,0.44092827004219415
Akola,2025-03-31,674,1.0802469135802468
Akola,2025-06-30,888,3.5306122448979593
Akola,2025-08-31,1044,1.5096153846153846
Akola,2025-10-31,652,3.624113475177305
Akola,2025-11-30,846,0.2975460122699387
Akola,2025-12-31,1149,0.35815602836879434
Alappuzha,2025-08-31,390,0.6115702479338843
Alappuzha,2025-10-31,341,0.5787037037037037
Aligarh,2025-04-30,742,1.88715953307393
Aligarh,2025-06-30,1682,4.051051051051051
Aligarh,2025-08-31,1680,5.363636363636363
Aligarh,2025-10-31,1115,1.9575596816976129
Aligarh,2025-11-30,1880,0.6860986547085202
Alipurduar,2025-04-30,114,0.78125
Alipurduar,2025-06-30,96,4.333333333333333
Alipurduar,2025-08-31,202,3.208333333333333
Alipurduar,2025-12-31,182,1.84375
Alirajpur,2025-04-30,121,1.5208333333333335
Alirajpur,2025-07-31,64,0.4222222222222223
Alirajpur,2025-08-31,218,2.40625
Alirajpur,2025-11-30,214,1.404494382022472
Allahabad,2025-04-30,1720,4.325077399380805
Allahabad,2025-06-30,1719,2.5081632653061225
Allahabad,2025-08-31,1199,2.2231182795698925
Allahabad,2025-10-31,1577,0.9068923821039903
Allahabad,2025-12-31,2171,1.118048780487805
Alluri Sitharama Raju,2025-03-31,167,0.6534653465346534
Alluri Sitharama Raju,2025-05-31,71,0.8205128205128205
Alluri Sitharama Raju,2025-07-31,112,1.731707317073171
Alluri Sitharama Raju,2025-11-30,100,0.6949152542372881
Almora,2025-04-30,92,1.0
Almora,2025-06-30,250,2.3783783783783785
Almora,2025-08-31,140,0.2727272727272727
Almora,2025-12-31,258,3.2295081967213113
Alwar,2025-06-30,801,1.3982035928143715
Alwar,2025-08-31,1030,0.5191740412979351
Alwar,2025-11-30,947,0.9770354906054279
Ambala,2025-06-30,257,0.6369426751592357
Ambala,2025-08-31,216,1.204081632653061
Ambala,2025-11-30,270,0.7880794701986755
Ambedkar Nagar,2025-04-30,820,0.8721461187214612
Ambedkar Nagar,2025-06-30,797,0.6399176954732511
Ambedkar Nagar,2025-08-31,396,3.4000000000000004
Ambedkar Nagar,2025-10-31,1067,1.9313186813186811
Ambedkar Nagar,2025-12-31,724,0.3976833976833978
Amethi,2025-04-30,667,3.5684931506849313
Amethi,2025-06-30,806,3.310160427807487
Amethi,2025-08-31,515,7.046875
Amethi,2025-10-31,739,1.0527777777777776
Amethi,2025-12-31,671,0.6775
Amravati,2025-03-31,1118,0.7120980091883613
Amravati,2025-04-30,1551,0.3872987477638641
Amravati,2025-06-30,1394,5.900990099009901
Amravati,2025-08-31,1167,1.7985611510791366
Amravati,2025-10-31,1004,1.8933717579250722
Amravati,2025-12-31,1150,0.38888888888888884
Amreli,2025-03-31,287,0.3798076923076923
Amreli,2025-08-31,331,2.3434343434343434
Amreli,2025-12-31,297,0.4776119402985075
Amritsar,2025-03-31,909,0.46612903225806446
Amritsar,2025-08-31,574,1.1742424242424243
Amritsar,2025-11-30,606,2.0606060606060606
Amritsar,2025-12-31,780,0.28712871287128716
Amroha,2025-04-30,953,0.8908730158730158
Amroha,2025-06-30,768,0.6623376623376624
Amroha,2025-08-31,711,3.708609271523179
Amroha,2025-10-31,677,3.0783132530120483
Amroha,2025-12-31,710,0.7617866004962779
Anakapalli,2025-07-31,113,1.4565217391304346
Anakapalli,2025-11-30,161,2.156862745098039
Anand,2025-03-31,379,0.5791666666666666
Anand,2025-06-30,364,0.3236363636363637
Anand,2025-08-31,311,2.3085106382978724
Anand,2025-12-31,397,0.6473029045643153
Anantapur,2025-07-31,401,0.47426470588235303
Anantapur,2025-09-30,416,0.4804270462633451
Anantapur,2025-11-30,785,1.706896551724138
Ananthapur,2025-07-31,183,0.326086956521739
Ananthapur,2025-09-30,226,1.173076923076923
Ananthapur,2025-11-30,316,0.6458333333333333
Ananthapuramu,2025-05-31,246,0.7956204379562044
Ananthapuramu,2025-07-31,231,0.9743589743589745
Ananthapuramu,2025-11-30,438,1.5317919075144508
Anantnag,2025-03-31,284,0.8933333333333333
Anantnag,2025-05-31,171,0.44915254237288127
Anantnag,2025-10-31,161,2.0961538461538463
Anantnag,2025-11-30,282,0.7515527950310559
Anantnag,2025-12-31,419,0.4858156028368794
Andamans,2025-04-30,19,2.1666666666666665
Andamans,2025-06-30,8,0.33333333333333326
Andamans,2025-07-31,12,0.5
Andamans,2025-11-30,12,0.33333333333333326
Angul,2025-06-30,227,2.546875
Angul,2025-08-31,211,4.552631578947368
Angul,2025-11-30,286,1.5765765765765765
Anjaw,2025-03-31,17,1.4285714285714284
Anjaw,2025-06-30,6,0.5
Anjaw,2025-07-31,10,0.6666666666666667
Anjaw,2025-10-31,10,4.0
Annamayya,2025-06-30,133,0.2912621359223302
Annamayya,2025-11-30,215,2.359375
Anugul,2025-02-28,24,0.41176470588235303
Anugul,2025-06-30,16,1.0
Anugul,2025-08-31,21,2.0
Anugul,2025-10-31,32,4.333333333333333
Anuppur,2025-06-30,71,0.47916666666666674
Anuppur,2025-08-31,104,0.5522388059701493
Anuppur,2025-11-30,112,0.696969696969697
Araria,2025-06-30,1346,1.093312597200622
Araria,2025-08-31,2052,0.32131358660656795
Araria,2025-12-31,791,0.25356576862123603
Ariyalur,2025-08-31,111,0.3214285714285714
Ariyalur,2025-10-31,179,0.8645833333333333
Ariyalur,2025-12-31,161,1.9814814814814814
Arvalli,2025-05-31,71,0.3148148148148149
Arvalli,2025-08-31,99,6.615384615384615
Arvalli,2025-12-31,120,1.5531914893617023
Arwal,2025-03-31,330,1.0121951219512195
Arwal,2025-06-30,274,0.6213017751479291
Arwal,2025-08-31,310,14.5
Ashok Nagar,2025-06-30,234,2.342857142857143
Ashok Nagar,2025-08-31,176,0.31343283582089554
Ashok Nagar,2025-10-31,182,0.33823529411764697
Auraiya,2025-03-31,355,1.6102941176470589
Auraiya,2025-06-30,392,0.6752136752136753
Auraiya,2025-08-31,436,3.541666666666667
Auraiya,2025-10-31,365,0.4777327935222673
Auraiya,2025-12-31,748,1.6338028169014085
Aurangabad,2025-03-31,2523,0.48411764705882354
Aurangabad,2025-06-30,2923,1.6791934005499543
Aurangabad,2025-08-31,2736,0.5787651471436814
Aurangabad,2025-10-31,2138,0.3116564417177914
Aurangabad,2025-12-31,3421,1.6234662576687118
Aurangabad(bh),2025-05-31,7,0.3999999999999999
Aurangabad(bh),2025-08-31,6,2.0
Aurangabad(bh),2025-10-31,7,2.5
Aurangabad(bh),2025-12-31,6,5.0
Ayodhya,2025-04-30,113,0.8524590163934427
Ayodhya,2025-06-30,92,0.7037037037037037
Ayodhya,2025-08-31,104,2.7142857142857144
Azamgarh,2025-04-30,1371,1.0741301059001511
Azamgarh,2025-06-30,1303,0.5661057692307692
Azamgarh,2025-08-31,1335,5.327014218009479
Azamgarh,2025-10-31,1347,0.3973029045643153
Azamgarh,2025-12-31,1903,1.1873563218390806
Badgam,2025-08-31,39,1.0526315789473686
Badgam,2025-10-31,88,4.866666666666666
Badgam,2025-12-31,98,0.96
Bagalkot,2025-06-30,565,0.7384615384615385
Bagalkot,2025-08-31,287,3.8644067796610173
Bagalkot,2025-10-31,282,0.4029850746268657
Bagalkot,2025-12-31,339,1.6076923076923078
